#,keyword,country,difficulty,volume,cpc,cps,parent keyword,last update,serp features,global volume,traffic potential,nu,com,net,dk,checking_date
87,beeg,dk,61,68000,0.2,1.11,beeg,27/01/2022 11:49,Sitelinks,29850000,72000,1,0,0,0,29-01-2022 09:52:35
88,sushi,dk,22,68000,0.8,0.44,sticks and sushi,28/01/2022 00:12,"People also ask,Sitelinks,Top stories,Thumbnails,Videos",6810000,34000,0,0,0,0,29-01-2022 09:48:16
89,118,dk,3,68000,0.25,1.0,118,28/01/2022 10:10,"Sitelinks,People also ask",182000,120000,0,0,0,0,29-01-2022 09:47:49
90,wish,dk,1,67000,0.05,1.02,wish,27/01/2022 02:05,"Sitelinks,People also ask,Knowledge panel",8610000,65000,0,0,0,0,29-01-2022 09:53:03
91,spies,dk,1,67000,0.02,1.01,spies,23/01/2022 16:50,"Adwords top,Sitelinks,People also ask,Knowledge panel",96000,93000,0,0,0,0,29-01-2022 09:47:27
92,luxplus,dk,0,66000,0.35,1.02,luxplus,23/01/2022 19:05,"Sitelinks,People also ask,Knowledge panel",149000,63000,1,0,0,0,29-01-2022 09:55:00
93,fck,dk,17,65000,4.0,0.75,fck,25/01/2022 00:57,"Sitelinks,Knowledge panel",247000,48000,0,0,0,0,29-01-2022 09:52:07
94,genbrug,dk,23,64000,1.0,0.32,genbrug,23/01/2022 14:32,"Sitelinks,People also ask,Top stories,Videos",67000,19000,0,0,0,0,29-01-2022 09:48:05
95,vvseksperten,dk,5,64000,0.09,1.02,vvseksperten,27/01/2022 15:14,"Sitelinks,Image pack",64000,123000,1,0,1,0,29-01-2022 09:53:48
96,friv,dk,63,64000,0.07,1.15,friv,24/01/2022 20:30,Sitelinks,11390000,70000,1,0,0,0,29-01-2022 09:52:20
97,tilbudsugen,dk,7,63000,0.03,1.03,tilbudsugen,23/01/2022 17:59,"Sitelinks,Image pack",64000,38000,1,0,1,0,29-01-2022 09:54:32
98,ixxx,dk,20,62000,0.3,1.07,ixxx,27/01/2022 17:38,Sitelinks,8180000,91000,1,0,0,0,29-01-2022 09:56:03
99,vw,dk,19,62000,0.06,0.97,vw,27/01/2022 18:35,"Sitelinks,People also ask,Image pack,Knowledge panel",4330000,72000,0,1,1,0,29-01-2022 09:47:44
100,sinful,dk,0,60000,0.04,1.0,sinful,24/01/2022 19:37,"Adwords top,Sitelinks,Knowledge panel",172000,22000,0,0,0,0,29-01-2022 09:51:03
101,e,dk,53,60000,0.35,0.52,e boks,24/01/2022 01:08,"Knowledge card,Sitelinks,People also ask",7060000,121000,0,1,1,0,29-01-2022 09:49:27
102,unibet,dk,5,59000,0.02,1.02,unibet,28/01/2022 12:25,"Sitelinks,People also ask,Knowledge panel",3830000,50000,0,0,0,0,29-01-2022 09:47:33
103,tinder,dk,4,59000,2.5,0.99,tinder,26/01/2022 16:58,"Sitelinks,People also ask,Knowledge panel",14990000,36000,1,0,0,0,29-01-2022 09:54:02
104,meesenger,dk,12,59000,,1.02,messenger,24/01/2022 10:42,"Sitelinks,People also ask",67000,198000,1,0,1,1,29-01-2022 09:48:16
105,tinglyst,dk,1,55000,0.7,0.9,tinglysning,23/01/2022 08:33,"People also ask,Knowledge panel,Sitelinks",56000,142000,1,1,1,0,29-01-2022 09:50:52
106,cfu,dk,24,55000,1.1,1.02,mitcfu,24/01/2022 19:40,"Sitelinks,People also ask,Knowledge panel",92000,203000,1,0,0,0,29-01-2022 09:54:56
107,mercedes,dk,49,54000,0.25,0.71,mercedes,26/01/2022 17:29,"People also ask,Knowledge panel",6260000,46000,0,0,0,0,29-01-2022 09:48:43
108,rejsevejledning,dk,49,53000,0.0,0.8,rejsevejledning,27/01/2022 08:30,"Sitelinks,People also ask",55000,102000,1,1,1,0,29-01-2022 09:54:45
109,virk,dk,0,53000,0.4,1.05,virk,28/01/2022 07:31,"Sitelinks,People also ask,Knowledge panel",58000,108000,0,0,0,0,29-01-2022 09:52:44
110,milfs,dk,55,52000,0.5,1.08,milfs,25/01/2022 04:47,Sitelinks,7550000,500,0,0,0,0,29-01-2022 09:54:26
111,bestseller,dk,6,52000,0.1,0.96,bestseller,24/01/2022 17:07,"Sitelinks,People also ask,Knowledge panel,Image pack",197000,20000,0,0,0,0,29-01-2022 09:52:38
112,msn,dk,70,52000,0.8,1.0,msn,27/01/2022 03:40,"Sitelinks,People also ask,Knowledge panel",27990000,90000,0,0,0,0,29-01-2022 09:48:00
113,minsundhed,dk,5,51000,1.1,0.99,min sundhed,27/01/2022 03:41,"Sitelinks,People also ask,Image pack",51000,232000,0,0,0,0,29-01-2022 09:49:01
114,meet,dk,21,51000,0.5,0.29,meet,23/01/2022 11:43,"Sitelinks,People also ask",9730000,10000,0,0,0,0,29-01-2022 09:53:25
115,stiften,dk,0,51000,0.8,0.98,stiften,27/01/2022 15:53,"Sitelinks,Knowledge panel",62000,103000,1,0,0,0,29-01-2022 09:54:23
116,tryg,dk,9,51000,0.04,0.95,tryg,26/01/2022 21:16,"Sitelinks,Knowledge panel",66000,123000,0,0,0,0,29-01-2022 09:54:44
117,kviktest,dk,22,51000,,,falck testcenter,23/01/2022 02:40,Sitelinks,51000,145000,0,0,1,0,29-01-2022 09:54:12
118,nemli,dk,2,50000,0.0,1.06,nemlig,28/01/2022 12:57,"Sitelinks,People also ask,Knowledge panel",51000,152000,1,0,1,0,29-01-2022 09:49:05
119,tegning,dk,0,50000,0.01,0.26,tegning,27/01/2022 08:38,"Image pack,Sitelinks,Top stories,Videos",54000,3200,0,0,0,0,29-01-2022 09:54:20
120,xklub,dk,0,49000,0.5,1.04,xklub,26/01/2022 17:12,Sitelinks,50000,49000,1,0,1,0,29-01-2022 09:54:17
121,udenrigsministeriet,dk,10,48000,0.0,0.86,udenrigsministeriet,24/01/2022 11:44,"Sitelinks,People also ask,Knowledge panel",50000,47000,1,1,1,0,29-01-2022 09:50:30
122,hltv,dk,34,48000,0.0,1.04,hltv,23/01/2022 03:52,"Sitelinks,People also ask,Knowledge panel,Top stories,Videos",1860000,49000,0,0,0,0,29-01-2022 09:48:48
123,ssi,dk,66,47000,1.2,0.77,ssi,27/01/2022 00:37,"Sitelinks,Knowledge panel",666000,54000,0,0,0,0,29-01-2022 09:48:55
124,sex,dk,4,47000,0.25,0.74,sex,23/01/2022 14:10,Sitelinks,34390000,7400,0,0,0,0,29-01-2022 09:49:45
125,wp,dk,98,47000,1.3,1.03,wp,25/01/2022 01:41,"Sitelinks,Knowledge panel",33860000,79000,0,1,1,0,29-01-2022 09:47:43
126,bbc,dk,98,47000,0.45,0.94,bbc,24/01/2022 15:39,"Sitelinks,Image pack",14490000,36000,0,0,0,0,29-01-2022 09:48:50
